Existing VETS.GOV url,Existing VA.GOV url,NEW URL,Notes
www.vets.gov/employment/,N/A,/careers-employment/,
www.vets.gov/employment/vocational-rehab-and-employment/,www.benefits.va.gov/vocrehab/index.asp,/careers-employment/vocational-rehabilitation/,
www.vets.gov/employment/vocational-rehab-and-employment/service-disabled/,www.benefits.va.gov/vocrehab/employment_tracks.asp,/careers-employment/vocational-rehabilitation/programs/,
www.vets.gov/employment/vocational-rehab-and-employment/service-disabled/return-to-job/,N/A,/careers-employment/vocational-rehabilitation/programs/reemployment/,
www.vets.gov/employment/vocational-rehab-and-employment/service-disabled/job-search-and-counseling/,N/A,/careers-employment/vocational-rehabilitation/programs/rapid-access-to-employment/,
www.vets.gov/employment/vocational-rehab-and-employment/service-disabled/small-business-training/,N/A,/careers-employment/vocational-rehabilitation/programs/self-employment/,
www.vets.gov/employment/vocational-rehab-and-employment/service-disabled/new-skills/,N/A,/careers-employment/vocational-rehabilitation/programs/long-term-services/,
www.vets.gov/employment/vocational-rehab-and-employment/service-disabled/independent-living/,www.benefits.va.gov/VOCREHAB/independent_living.asp,/careers-employment/vocational-rehabilitation/programs/independent-living/,
www.vets.gov/employment/vocational-rehab-and-employment/eligibility/,www.benefits.va.gov/vocrehab/eligibility_and_entitlement.asp,/careers-employment/vocational-rehabilitation/eligibility/,
www.vets.gov/employment/vocational-rehab-and-employment/ides/,,/careers-employment/vocational-rehabilitation/ides/,
www.vets.gov/employment/vocational-rehab-and-employment/apply-vre/,www.benefits.va.gov/vocrehab/application_roadmap.asp,/careers-employment/how-to-apply/,
www.vets.gov/education/tools-programs/education-career-counseling/,www.benefits.va.gov/VOCREHAB/edu_voc_counseling.asp,/careers-employment/education-and-career-counseling/,
www.vets.gov/employment/vocational-rehab-and-employment/family-members/,N/A,/careers-employment/dependent-benefits/,
www.vets.gov/employment/job-seekers/register-your-business/,N/A,/careers-employment/veteran-owned-business-support/,
N/A,www.benefits.va.gov/vocrehab/transitioning_from_service.asp,NO CHANGE,
N/A,www.dol.gov/veterans/findajob/,NO CHANGE,
N/A,www.benefits.va.gov/vocrehab/subsistence_allowance_rates.asp,NO CHANGE,
www.vets.gov/employment/vocational-rehab-and-employment/vetsuccess/,www.benefits.va.gov/vocrehab/vsoc.asp,/careers-employment/vetsuccess-on-campus/,
N/A,www.benefits.va.gov/vocrehab/program_definitions.asp,NO CHANGE,
N/A,www.benefits.va.gov/vocrehab/success_stories.asp,NO CHANGE,
www.vets.gov/employment/vocational-rehab-and-employment/external-resources/,N/A,/careers-employment/veteran-resources/,
www.vets.gov/employment/job-seekers/family-members/,N/A,/careers-employment/family-resources/,
www.vets.gov/education/tools-programs/careerscope/,www.benefits.va.gov/gibill/careerscope.asp,/careers-employment/careerscope-skills-assessment/,
