Existing VETS.GOV url,Existing VA.GOV url,NEW URL,Notes
www.vets.gov/housing-assistance/,www.benefits.va.gov/homeloans/index.asp,/housing-assistance/,
www.vets.gov/housing-assistance/home-loans/,www.benefits.va.gov/homeloans/veteran_borrowers.asp,/housing-assistance/home-loans/,
www.vets.gov/housing-assistance/home-loans/loan-options/,www.benefits.va.gov/homeloans/purchasecashout.asp,/housing-assistance/home-loans/loan-types/,
www.vets.gov/housing-assistance/home-loans/loan-options/purchase-loan/,www.benefits.va.gov/homeloans/purchaseco_buy_process.asp,/housing-assistance/home-loans/loan-types/purchase-loan/,
N/A,www.benefits.va.gov/homeloans/purchaseco_loan_limits.asp,/housing-assistance/home-loans/loan-types/purchase-loan/,
www.vets.gov/housing-assistance/home-loans/loan-options/cash-out-refinance/,N/A,/housing-assistance/home-loans/loan-types/cash-out-loan/,
www.vets.gov/housing-assistance/home-loans/loan-options/nadl/,www.benefits.va.gov/homeloans/nadl.asp,/housing-assistance/home-loans/loan-types/native-american-direct-loan/,
N/A,www.benefits.va.gov/homeloans/nadl_mou.asp,N/A,NO CHANGE
www.vets.gov/housing-assistance/home-loans/loan-options/irrrl/,www.benefits.va.gov/homeloans/irrrl.asp,/housing-assistance/home-loans/loan-types/interest-rate-reduction-loan/,
www.vets.gov/housing-assistance/home-loans/eligibility/,www.benefits.va.gov/homeloans/purchaseco_eligibility.asp,/housing-assistance/home-loans/eligibility/,
www.vets.gov/housing-assistance/home-loans/apply-for-certificate-of-eligibility/,www.benefits.va.gov/HOMELOANS/purchaseco_certificate.asp,/housing-assistance/home-loans/how-to-apply/,
www.vets.gov/housing-assistance/home-loans/trouble-making-payments/,www.benefits.va.gov/HOMELOANS/resources_payments.asp,/housing-assistance/home-loans/trouble-making-payments/,
N/A,www.benefits.va.gov/homeloans/resources_veteran.asp,N/A,NO CHANGE
N/A,www.benefits.va.gov/homeloans/purchaseco_loan_fee.asp,N/A,NO CHANGE
N/A,www.benefits.va.gov/HOMELOANS/contact_rlc_info.asp,N/A,NO CHANGE
N/A,www.benefits.va.gov/HOMELOANS/documents/docs/va_policy_regarding_natural_disasters.pdf,N/A,NO CHANGE
www.vets.gov/housing-assistance/adaptive-housing-grants/,www.benefits.va.gov/homeloans/adaptedhousing.asp,/housing-assistance/disability-housing-grants/,
New Page [How to Apply for SAH Grant],N/A,/housing-assistance/disability-housing-grants/how-to-apply/,New Page
