Existing VETS.GOV url,Existing VA.GOV url,NEW URL,Notes
www.vets.gov/life-insurance/,www.benefits.va.gov/insurance/index.asp,/life-insurance/,
www.vets.gov/life-insurance/options-and-eligibility/,N/A,/life-insurance/options-eligibility/,
N/A,www.benefits.va.gov/insurance/overviewInsurance.html,NO CHANGE,
www.vets.gov/life-insurance/options-and-eligibility/sgli/,www.benefits.va.gov/insurance/sgli.asp,/life-insurance/options-eligibility/sgli/,
N/A,www.benefits.va.gov/insurance/sglidisabled.asp,/life-insurance/options-eligibility/sgli/,
www.vets.gov/life-insurance/options-and-eligibility/fsgli/,www.benefits.va.gov/insurance/fsgli.asp,/life-insurance/options-eligibility/fsgli/,
www.vets.gov/life-insurance/options-and-eligibility/tsgli/,www.benefits.va.gov/insurance/tsgli.asp,/life-insurance/options-eligibility/tsgli/,
N/A,www.benefits.va.gov/insurance/tsgli_schedule_Schedule.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/tsgli-claim-questionnaire.asp,NO CHANGE,
www.vets.gov/life-insurance/options-and-eligibility/vgli/,www.benefits.va.gov/INSURANCE/apply-for-VGLI.asp,/life-insurance/options-eligibility/vgli/,
N/A,www.benefits.va.gov/insurance/vgli.asp,/life-insurance/options-eligibility/vgli/,
N/A,www.benefits.va.gov/INSURANCE/getvgli.asp,/life-insurance/options-eligibility/vgli/,
N/A,www.benefits.va.gov/insurance/vgli_rates_compare_vgli.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/vgli_rates_new.asp,NO CHANGE,
www.vets.gov/life-insurance/options-and-eligibility/s-dvi/,www.benefits.va.gov/insurance/s-dvi.asp,/life-insurance/options-eligibility/s-dvi/,
www.vets.gov/life-insurance/options-and-eligibility/vmli/,www.benefits.va.gov/insurance/vmli.asp,/life-insurance/options-eligibility/vmli/,
N/A,www.benefits.va.gov/insurance/select.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/vri.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/vsli.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/nsli.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/usgli.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/capped_term.asp,NO CHANGE,
N/A,www.benefits.va.gov/insurance/plans.asp,NO CHANGE,
N/A,www.benefits.va.gov/insurance/dividends_options.asp,NO CHANGE,
N/A,www.benefits.va.gov/insurance/dividends_special.asp,NO CHANGE,
N/A,www.insurance.va.gov/UnclaimedFunds/,NO CHANGE,
www.vets.gov/life-insurance/disabled-and-terminally-ill/,www.benefits.va.gov/insurance/abo.asp,/life-insurance/totally-disabled-or-terminally-ill/,
N/A,www.benefits.va.gov/INSURANCE/gli-claim-disability.asp,/life-insurance/totally-disabled-or-terminally-ill/,
N/A,www.benefits.va.gov/insurance/bfcs.asp,NO CHANGE,
www.vets.gov/life-insurance/manage-your-policy/,www.benefits.va.gov/insurance/choose.asp,/life-insurance/manage-your-policy/,
N/A,www.benefits.va.gov/INSURANCE/updatebene.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/sglivgli.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/converting.asp,NO CHANGE,
New Page [File TSGLI Appeal],N/A,/life-insurance/file-appeal-for-tsgli/,New Page
N/A,www.benefits.va.gov/INSURANCE/vgli_auto_pay.asp,NO CHANGE,
N/A,www.benefits.va.gov/insurance/lifeins101.asp ,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/introCalc.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/sgli_myths_rumors.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/SOES.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/resources-contact.asp,NO CHANGE,
N/A,www.insurance.va.gov/ContactUs,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/resources-forms.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/ins_publications.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/payments-eft.asp,NO CHANGE,
N/A,www.benefits.va.gov/INSURANCE/uninsurable.asp,NO CHANGE,
