Existing VETS.GOV url,Existing VA.GOV url,NEW URL,Notes,
www.vets.gov/pension/,www.benefits.va.gov/pension/index.asp,/pension/,,
www.vets.gov/pension/eligibility/,www.benefits.va.gov/pension/vetpen.asp,/pension/eligibility/,,
N/A,www.benefits.va.gov/pension/wartimeperiod.asp,/pension/eligibility/,,
www.vets.gov/pension/apply/,N/A,/pension/how-to-apply/,,
www.vets.gov/pension/apply/fully-developed-claim/,N/A,/pension/how-to-apply/fully-developed-claim/,,
www.vets.gov/pension/application/527EZ/,N/A,/pension/apply-for-veteran-pension-form-21p-527ez/,NO CHANGE,Revert back to Vets URL
www.vets.gov/pension/aid-attendance-housebound/,www.benefits.va.gov/pension/aid_attendance_housebound.asp,/pension/aid-attendance-housebound/,,
www.vets.gov/pension/survivors-pension/,www.benefits.va.gov/pension/spousepen.asp,/pension/survivors-pension/,,
www.vets.gov/pension/rates/ ,www.benefits.va.gov/pension/pencalc.asp,/pension/veterans-pension-rates/,,
N/A,www.benefits.va.gov/PENSION/rates.asp,/pension/veterans-pension-rates/,,
www.vets.gov/pension/survivors-pension/rates/,www.benefits.va.gov/pension/spousepencalc.asp,/pension/survivors-pension-rates/,,
N/A,www.benefits.va.gov/PENSION/current_protected_pension_rate_tables.asp,N/A,NO CHANGE,
www.vets.gov/pension/pension-management-center/,www.benefits.va.gov/PENSION/resources-contact.asp,/pension/pension-management-centers/,,
